attempt_id,session_id,unit_id,phase,task,llm_mode,selected_option,shown_at_epoch_ms,answered_at_epoch_ms,active_ms,hidden_ms,idle_ms,hidden_count,blur_count,had_background,is_valid,invalid_reason,created_at
a27e71fd-c8ce-42da-a09d-e1492caeb301,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence05,normal,manual,,APPLICATION,1774335195447,1774335200557,5070,0,0,0,0,0,1,,2026-03-24T06:53:22.212Z
48ab7d01-af13-4021-9c0e-3edd36c8365f,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence01,normal,manual,,RESPONSIBILITY,1774335220349,1774335227698,7075,0,0,0,0,0,1,,2026-03-24T06:53:49.242Z
4eb4513e-1343-4924-95ac-d0d0ed0e662a,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence02,normal,manual,,IMPLICATION,1774335228203,1774335247101,17484,0,1071,0,0,0,1,,2026-03-24T06:54:08.626Z
f7375cde-04b5-4515-873f-fc875d54a8b8,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence03,normal,manual,,EXPLANATION,1774335247692,1774335253532,5602,0,0,0,0,0,1,,2026-03-24T06:54:15.071Z
11ef7104-2102-420c-8332-1fa4b0d66803,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence04,normal,manual,,APPLICATION,1774335254080,1774335268536,14269,0,0,0,0,0,1,,2026-03-24T06:54:30.072Z
baf8ee4a-9e5a-4fba-85ad-e246089eeb34,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence05,normal,manual,,IMPLICATION,1774335268983,1774335275182,6022,0,0,0,0,0,1,,2026-03-24T06:54:36.735Z
5e7d6f86-4871-4c34-b93d-254a8e1aefc5,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence01,normal,llm,prompt1,EXPLANATION,1774336307357,1774336307357,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:11:48.960Z
90cc1805-14b0-46e3-a307-bf81b51dca8d,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence02,normal,llm,prompt1,EVALUATION,1774336307908,1774336307908,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:11:49.496Z
c6e92b3f-6d2c-4ccc-af5f-f1d5e0265b07,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence03,normal,llm,prompt1,RESPONSIBILITY,1774336308231,1774336308231,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:11:49.759Z
9c291e7a-f48a-4986-8401-5769cbcc6f35,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence04,normal,llm,prompt1,APPLICATION,1774336308547,1774336308547,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:11:50.137Z
