session_id,unit_id,phase,task,status,ordering
08e554f6-7eb9-48f8-9969-ef3a90f5a989,essay0003_sentence04,normal,manual,todo,13
08e554f6-7eb9-48f8-9969-ef3a90f5a989,essay0003_sentence05,normal,llm,todo,14
08e554f6-7eb9-48f8-9969-ef3a90f5a989,essay0003_sentence05,normal,manual,todo,14
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence01,active,manual,todo,0
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence01,normal,llm,todo,0
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence01,normal,manual,todo,0
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence02,active,manual,todo,1
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence02,normal,llm,todo,1
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence02,normal,manual,todo,1
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence03,active,manual,todo,2
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence03,normal,llm,todo,2
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence03,normal,manual,todo,2
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence04,active,manual,todo,3
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence04,normal,llm,todo,3
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence04,normal,manual,todo,3
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence05,active,manual,todo,4
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence05,normal,llm,todo,4
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0001_sentence05,normal,manual,todo,4
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence01,normal,llm,todo,5
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence01,normal,manual,todo,5
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence02,normal,llm,todo,6
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence02,normal,manual,todo,6
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence03,normal,llm,todo,7
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence03,normal,manual,todo,7
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence04,normal,llm,todo,8
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence04,normal,manual,todo,8
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence05,normal,llm,todo,9
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0002_sentence05,normal,manual,todo,9
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence01,normal,llm,todo,10
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence01,normal,manual,todo,10
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence02,normal,llm,todo,11
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence02,normal,manual,todo,11
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence03,normal,llm,todo,12
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence03,normal,manual,todo,12
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence04,normal,llm,todo,13
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence04,normal,manual,todo,13
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence05,normal,llm,todo,14
09ad70ff-6213-4caf-bc72-5c456fa080ec,essay0003_sentence05,normal,manual,todo,14
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence01,active,manual,todo,0
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence01,normal,llm,todo,0
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence01,normal,manual,done,0
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence02,active,manual,todo,1
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence02,normal,llm,todo,1
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence02,normal,manual,done,1
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence03,active,manual,todo,2
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence03,normal,llm,todo,2
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence03,normal,manual,done,2
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence04,active,manual,todo,3
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence04,normal,llm,todo,3
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence04,normal,manual,done,3
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence05,active,manual,todo,4
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence05,normal,llm,todo,4
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0001_sentence05,normal,manual,done,4
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence01,normal,llm,todo,5
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence01,normal,manual,done,5
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence02,normal,llm,todo,6
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence02,normal,manual,done,6
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence03,normal,llm,todo,7
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence03,normal,manual,done,7
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence04,normal,llm,todo,8
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence04,normal,manual,done,8
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence05,normal,llm,todo,9
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0002_sentence05,normal,manual,done,9
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence01,normal,llm,todo,10
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence01,normal,manual,done,10
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence02,normal,llm,todo,11
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence02,normal,manual,done,11
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence03,normal,llm,todo,12
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence03,normal,manual,done,12
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence04,normal,llm,todo,13
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence04,normal,manual,done,13
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence05,normal,llm,todo,14
0cb5b53c-9358-43ab-9246-f56a94b4b10c,essay0003_sentence05,normal,manual,done,14
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence01,active,manual,todo,0
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence01,normal,llm,done,0
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence01,normal,manual,done,0
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence02,active,manual,todo,1
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence02,normal,llm,done,1
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence02,normal,manual,done,1
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence03,active,manual,todo,2
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence03,normal,llm,done,2
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence03,normal,manual,done,2
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence04,active,manual,todo,3
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence04,normal,llm,done,3
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence04,normal,manual,done,3
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence05,active,manual,todo,4
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence05,normal,llm,done,4
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence05,normal,manual,done,4
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence01,normal,llm,done,5
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence01,normal,manual,done,5
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence02,normal,llm,done,6
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence02,normal,manual,done,6
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence03,normal,llm,done,7
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence03,normal,manual,done,7
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence04,normal,llm,done,8
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence04,normal,manual,done,8
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence05,normal,llm,done,9
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence05,normal,manual,done,9
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence01,normal,llm,done,10
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence01,normal,manual,done,10
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence02,normal,llm,done,11
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence02,normal,manual,done,11
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence03,normal,llm,done,12
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence03,normal,manual,done,12
