session_id,unit_id,phase,task,status,ordering
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence01,active,manual,done,0
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence01,normal,llm,done,0
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence01,normal,manual,done,0
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence02,active,manual,done,1
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence02,normal,llm,done,1
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence02,normal,manual,done,1
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence03,active,manual,done,2
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence03,normal,llm,done,2
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence03,normal,manual,done,2
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence04,active,manual,done,3
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence04,normal,llm,done,3
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence04,normal,manual,done,3
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence05,active,manual,done,4
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence05,normal,llm,done,4
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0001_sentence05,normal,manual,done,4
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence01,normal,llm,done,5
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence01,normal,manual,done,5
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence02,normal,llm,done,6
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence02,normal,manual,done,6
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence03,normal,llm,done,7
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence03,normal,manual,done,7
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence04,normal,llm,done,8
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence04,normal,manual,done,8
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence05,normal,llm,done,9
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0002_sentence05,normal,manual,done,9
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence01,normal,llm,done,10
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence01,normal,manual,done,10
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence02,normal,llm,done,11
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence02,normal,manual,done,11
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence03,normal,llm,done,12
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence03,normal,manual,done,12
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence04,normal,llm,done,13
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence04,normal,manual,done,13
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence05,normal,llm,done,14
01fdfbc2-0ef2-4902-865e-331ab55f653d,essay0003_sentence05,normal,manual,done,14
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence01,active,manual,done,0
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence01,normal,llm,done,0
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence01,normal,manual,done,0
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence02,active,manual,done,1
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence02,normal,llm,done,1
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence02,normal,manual,done,1
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence03,active,manual,done,2
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence03,normal,llm,done,2
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence03,normal,manual,done,2
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence04,active,manual,done,3
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence04,normal,llm,done,3
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence04,normal,manual,done,3
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence05,active,manual,done,4
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence05,normal,llm,done,4
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0001_sentence05,normal,manual,done,4
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence01,active,manual,done,5
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence01,normal,llm,done,5
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence01,normal,manual,done,5
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence02,active,manual,done,6
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence02,normal,llm,done,6
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence02,normal,manual,done,6
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence03,active,manual,done,7
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence03,normal,llm,done,7
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence03,normal,manual,done,7
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence04,active,manual,done,8
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence04,normal,llm,done,8
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence04,normal,manual,done,8
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence05,active,manual,done,9
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence05,normal,llm,done,9
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0002_sentence05,normal,manual,done,9
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence01,active,manual,done,10
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence01,normal,llm,done,10
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence01,normal,manual,done,10
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence02,active,manual,done,11
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence02,normal,llm,done,11
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence02,normal,manual,done,11
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence03,active,manual,done,12
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence03,normal,llm,done,12
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence03,normal,manual,done,12
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence04,active,manual,done,13
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence04,normal,llm,done,13
